Название;Регион;Район;Населённый пункт;Адрес;Широта;Долгота;Телефоны;Время работы
"МУЗ ""ЦРБ Гулькевичского р-на""";Краснодарский край;Гулькевичский;Гулькевичи;г. Гулькевичи, ул. Комсомольская, 163;45.353580;40.694470;(86160) 5-19-29, 5-19-05, 5-19-34;вт,чт 7.30-10.00
"МУЗ ""Динская ЦРБ""";Краснодарский край;Динский;ст.  Динская;ст. Динская, ул. Кирпичная, 53а;45.217659;39.222618;(86162) 6-21-68, 6-17-58, 6-29-64;пн, ср 8.00-12.00
"МУЗ ""ЦРБ МО Кавказский р-н""";Краснодарский край;Кавказский;ст. Кавказская;ст. Кавказская, ул. Малиновского, 228;45.448311;40.673489;(86193) 2-32-15, 2-20-42, 2-32-21;пн,вт,чт 8.30-11.00
"МУЗ ""Каневская ЦРБ""";Краснодарский край;Каневский;ст Каневская;ст. Каневская, ул. Больничная, 108;46.079369;38.969261;(86164) 4-18-13, 4-00-11, 7-05-03;пн,чт 7.30-12.00
"МУЗ ""ЦГБ МО г. Кропоткин""";Краснодарский край;Кропоткинский;Кропоткин;г. Кропоткин, ул. Гагарина, 218;45.435680;40.576641;(86138) 6-32-57, 6-75-05;вт,чт 8.00-11.00
"МУЗ "" Красноармейская ЦРБ""";Краснодарский край;Полтавский;ст. Полтавская;ст. Полтавская, ул. Просвещения, 59/3;45.333333;38.216667;(86165) 3-28-74, 3-37-65;пн,чт 9.00-11.00
"МУЗ ""ЦРБ г.Крымска и Крымского р-на""";Краснодарский край;Крымский;Крымск;г. Крымск, ул. Горная, 15;44.939030;37.994881;(86131) 4-33-56, 4-50-00;пн,чт 8.00-11.00
"МУЗ ""Крыловская ЦРБ""";Краснодарский край;Крыловский;ст. Крыловская;ст. Крыловская, ул. Первомайская, 74;46.322681;39.958149;(86161) 3-13-25, 3-20-03, 3-20-28;пн,ср 8.00-11.00
"МУЗ ""Кущевская ЦРБ""";Краснодарский край;Кущевский;ст. Кущевская;ст. Кущевская, ул. Ленина, 2;46.550430;39.624081;(86168) 5-73-53, 5-49-31;пн-пт 8.00-12-00
"МУЗ ""Мостовская ЦРБ""";Краснодарский край;Мостовский;пгт. Мостовской;пгт. Мостовской, ул. Красная, 93;44.411591;40.800480;(86192) 5-13-97, 5-14-90, 5-25-73;пн,чт 10.00-12.00
"МУЗ ""ЦРБ Новокубанского р-на""";Краснодарский край;Новокубанский;Новокубанск;г. Новокубанск, ул. К. Маркса, 58;45.107868;41.049679;(86195) 3-18-05, 3-26-70, 3-00-19;вт,чт 7.00-9.30
"МУЗ ""ЦРБ МО Новопокровский р-он""";Краснодарский край;Новопокровский;ст Новопокровская;ст. Новопокровская, ул. Калинина, 191;45.955849;40.705639;(86149) 7-18-04, 7-13-86;пн-чт 8.00-12.00
"МУЗ ""Отрадненская ЦРБ""";Краснодарский край;Отрадный;ст. Отрадная;ст. Отрадная, ул. Пионерская, 57;44.397911;41.525711;(86144) 3-42-20, 3-41-76, 3-34-19;пн-чт 9.00-12.00
"МУЗ ""ЦРБ МО Приморско-Ахтарского р-на им. Кравченко Н.Г.""";Краснодарский край;Приморско-Ахтарский;Приморско-Ахтарск;г. Приморско-Ахтарск, ул. Комиссара Шевченко, 99;46.055118;38.194130;(86143) 2-02-47, 2-15-63;вт,чт 8.00-12.00
"МУЗ ""ЦРБ администрации МО Павловского р-на""";Краснодарский край;Павловский;ст Павловская;Павловская, ул. Первомайская, 14;46.136681;39.785358;(86191) 5-42-59, 5-33-52;пн,ср 8.00-11.00
"МУЗ ""Северская ЦРБ""";Краснодарский край;Северский;ст. Северская;ст. Северская, ул. Базарная, 15;44.858662;38.674671;(86166) 2-13-09, 2-13-91;вт,ср,чт 8.00-12.00
"МУЗ ""Славянская ЦРБ""";Краснодарский край;Славянск-на-Кубани;Славянск-на-Кубани;г. Славянск-на-Кубани, ул. Батарейная, 377;45.256370;38.124870;(86146) 2-38-14, 2-21-34;пн,чт 8.00-10.00
"МУЗ ""Староминская ЦРБ""";Краснодарский край;Староминский;ст. Староминская;ст. Староминская, ул. Красная, 14;46.537850;39.057621;(86153) 5-85-60, 4-21-11, 5-74-98;пн,ср 8.00-12.00
"МУЗ ""Тбилисская ЦРБ""";Краснодарский край;Тбилисский;ст. Тбилисская;ст. Тбилисская, ул. Первомайская, 52;45.362911;40.182949;(86158) 3-27-86, 3-21-92, 3-29-58;пн,ср 9.00-12.00
"МУЗ ""ЦРБ Темрюкского р-на""";Краснодарский край;Темрюкский;Темрюк;г. Темрюк, ул. Таманская, 69;45.279758;37.380890;(86148) 5-22-03, 5-37-14;вт,чт 10.00-13.00
"МУЗ ""Тимашевская ЦРБ""";Краснодарский край;Тимашевский;Тимашевск;г. Тимашевск, ул. Ленина, 175;45.617069;38.943100;(86130) 4-10-93, 4-12-34, 4-13-36;пн,вт 9.00-11.00
"МУЗ ""ЦГБ г. Туапсе""";Краснодарский край;Туапсенский;Туапсе;г. Туапсе, ул. Армавирская, 2;44.104375;39.071546;(86167) 2-39-46, 2-26-30;вт,чт 8.00-11.00
"МУЗ ""Успенская ЦРБ""";Краснодарский край;Успенский;с. Успенское;с. Успенское, ул. Крупской, 35;44.834572;41.391960;(86140) 5-66-62, 5-57-41;вт,чт 9.00-11.00
"МУЗ ""ЦРБ МО Щербинский р-н""";Краснодарский край;Старощербиновский;ст Старощербиновская;ст. Старощербиновская, ул. Промышленная, 1;46.628029;38.672130;(86151) 4-11-46, 4-10-57;ср 8.00-12.00
"МУЗ ""Новозыбковская ЦРБ""";Брянская область;Новозыбковский;Новозыбков;г. Новозыбков, ул. Красная, 81;52.539051;31.944860;(48343) 5-10-25, 3-29-05;вт, чт 8.00-15.15
"МУЗ ""Карачевская ЦРБ""";Брянская область;Карачевский;Карачев;г. Карачев, ул. Первомайская, 148;53.118431;34.970489;(48335) 2-40-60, 2-40-69;пн-пт 8.00-12.00
"МУЗ ""Климовская ЦРБ""";Брянская область;Климовский;пос. Климово;п.г.т. Климово, ул. Полевая, 34;52.373779;32.191681;(48347) 2-17-39;вт, чт 8.00-14.30
"МУЗ ""Унечская ЦРБ""";Брянская область;Унечский;Унеча;г. Унеча, ул. Октябрьская, 56;52.848702;32.670460;(48351) 2-25-34;вт, ср 8.30-12.30
"ГУЗ ""Центр планирования семьи и репродукции""";Москва;Москва;Москва;Севастопольский пр., 24А;55.668638;37.581072;(495) 718-20-88, 718-20-98;пн-пт  8.30 - 11.00
"ГУЗ ""Детская ГКБ Св. Владимира""";Москва;Москва;Москва;ул. Рубцовско-Дворцовая, 1/3;55.786886;37.694069;(499) 268-22-31, 268-22-80;пн-чт 9.30-12.00, пт. 9.30-11.30
"ГУЗ ""Морозовская детская ГКБ""";Москва;Москва;Москва;4-й Добрынинский пер., 1/9;55.726659;37.617722;(495) 236-24-02, 236-22-13;пн-чт 9.00-11.00
"ГУЗ ""ГКБ им. С.П.Боткина""";Москва;Москва;Москва;2-й Боткинский пр., 5;55.781323;37.554669;(499) 728-84-88;пн-пт 8.30-12.30
"ГУЗ ""ГКБ №1 им Н.И. Пирогова""";Москва;Москва;Москва;Ленинский пр-т, 8;55.726647;37.60312;(495) 236-60-69, 236-65-69;вт-пт 9.00 - 12.00
"ГУЗ ""ГБ №3 г.Москвы""";Москва;Москва;Зеленоград;г. Зеленоград, Каштановая аллея, 2 стр 1;55.983861;37.232525;(499) 735-64-29, 735-32-06;пн-пт 8.30-12.30
"ГУЗ ""ГКБ №7""";Москва;Москва;Москва;Коломенский пр., 4;55.66303;37.640165;(499) 782-30-70, 782-31-92;пн-пт 8.30 - 12.00
"ГУЗ ""ГКБ №12""";Москва;Москва;Москва;ул. Бакинская, 26;55.618644;37.654608;(495) 321-17-10;пн-пт 8.30-11.30
"ГУЗ ""ГКБ №15 им О.М.Филатова""";Москва;Москва;Москва;ул. Вешняковская, 23;55.731136;37.834026;(495) 375-13-02, 770-01-23;пн,вт,чт,пт 8.30-12.00
"ГУЗ ""ГКБ №52""";Москва;Москва;Москва;ул. Пехотная, 3;55.800758;37.48212;(499) 196-39-36, 196-21-14;пн-пт 8.30-12.30
"ГУЗ ""ГКБ №71""";Москва;Москва;Москва;Можайское шоссе, 14;55.722089;37.431396;(495) 440-20-93, 440-21-01;пн-чт 9.00-12.00
"ГУЗ МО ""Воскресенская станция переливания крови""";Московская область;Воскресенский район;Воскресенск;г. Воскресенск, Больничный проезд, 5;55.325698;38.675907;(496) 442-64-64;пн-пт 8.00-13.00
"ГУЗ МО""Орехово-Зуевская станция переливания крови""";Московская область;Орехово-Зуевский район;Орехово-Зуево;г. Орехово-Зуево, ул. Барышникова, 13/5;55.803255;39.001399;(496) 425-77-36, 425-77-90;пн-пт 8.00-15.00
"ГУЗ МО ""Щелковская станция переливания крови""";Московская область;Щелковский район;Щелково;г. Щелково, ул. Новая Фабрика, 8;55.920193;38.014228;(496) 526-47-84;пн,вт,чт,пт 8.00-11.00
"ГУЗ МО ""Наро-Фоминская станция переливания крови""";Московская область;Наро-Фоминский район;Наро-Фоминск;г. Наро-Фоминск, ул. Школьная, 1;55.388086;36.72024;(496) 344-05-17;пн,вт,чт 8.00-13.00
